(''banco do brasil cobra restituicao de recursos de depositos judiciais do governo de minas'', ''Negative''),
(''esse secretario de temer o imbecil bruno julio pmdbmg e a cara do governo golpista'', ''Negative''),
(''esta ai o exemplo de gerencia que esse bando de criminosos instaurou em mg e no pais esse sujeito deveria'', ''Negative''),
(''estado de calamidade publica esta a vida do servidor de mg pgto em parcelas'', ''Negative''),
(''estado de minas em estado de calamidade comprou elicopteros novos pode'', ''Negative''),
(''estado de minas gerais quebrado e ainda se apropriando dos recursos judiciais que pertencem as partes dos processos fim da moralidade'', ''Negative''),
(''estado de minas metro e anel fora dos planos em'', ''Negative''),
(''estilo petista de governar banco do brasil cobra de minas r bilhao em depositos judiciais'', ''Negative''),
(''eu ja sabia que ver os maus carater vermelhos defender este bandido voce ai que votou neste cafageste'', ''Negative''),
(''fernando pimentel ptdecretou estado de calamidade financeira e vem atrasando os salarios do funcionalismo public'', ''Negative''),
(''fernando pimentel governador petista de minas ja tem um e vai comprar mais dois'', ''Negative''),
(''fernando pimentel o governador que decretou “calamidade financeira” no estado de minas gerais e parcelou os'', ''Negative''),
(''filho esposa mesmo em calamidade financeira governo de mg compra mais dois helicopteros via'', ''Negative''),
(''governador de mg uma vergonha nacional e caradepau'', ''Negative''),
(''governador de mg busca filho em gandaia com helicoptero do governo'', ''Negative''),
(''governador de minas e chamado de vagabundo e ladrao em shopping de sao paulo'', ''Negative''),
(''governador de minas se defende em redes sociais por levar filho em festa no helicopero do estado'', ''Negative''),
(''governador de minas usa helicoptero do estado para buscar filho em festa via'', ''Negative''),
(''governador de minas que usou helicoptero para buscar seu filho em uma festa quer comprar mais dois'', ''Negative''),
(''governador petista fernando pimentel e aliados querem mordomias na crise e que o povo pague a conta'', ''Negative''),
(''governador petista tem se dedicado ao seu novo negocio helicopteros'', ''Negative''),
(''governo de gasta r milhoes com helicopteros'', ''Negative''),
(''governo de mg decretou estado de calamidade financeira imagina voce se tivesse sobrando dinheiro em caixa'', ''Negative''),
(''governo de mg gasta r milhoes com helicopteros'', ''Negative''),
(''governo de mg poe em sigilo dados sobre voos de pimentel poder folha de spaulo'', ''Negative''),
(''governo de minas da respostas a justica sobre calamidade financeira politica estado de minas'', ''Negative''),
(''governo de minas deveria pedir a istoe que apresente documentos que comprovem a manchete helicopteros de pimentelo gente chega de manobra'', ''Negative''),
(''governo de minas gerais compra mais helicopteros apos decretar estado de calamidade financeira the news brazil'', ''Negative''),
(''governo de minas gerais compra mais dois helicopteros politica estadao'', ''Negative''),
(''governo de minas gerais compra mais dois helicopteros falido mas gastando'', ''Negative''),
(''governo de minas gerais gasta r milhoes com helicopteros'', ''Negative''),
(''governo de minas gerais gastara r milhoes com helicopteros'', ''Negative''),
(''governo em calamidade financeira bb avisa justica que minas nao tem recursos'', ''Negative''),
(''governo mineiro admite superlotacao nos presidios com mil detentos mg tem maior populacao carceraria'', ''Negative''),
(''pais mediocre odeio ser brasileiro'', ''Negative''),
(''isso e que e preocupante para o nosso estado falido pelo pilantrel'', ''Negative''),
(''juizes e desembargadores de minas recebem ate r mil de auxiliomoradia politica estado de minas'', ''Negative''),
(''justica trava acesso a voos de governador de mg em aeronaves oficiais ou fretadas'', ''Negative''),
(''mais helicopterosa cara de pau e a canalhice ainda so sao maiores q a by via'', ''Negative''),
(''mais gastos em calamidade financeira governo de mg compra mais helicopteros'', ''Negative''),
(''manifestantes protestam contra aumento das passagens de onibus em bh gerais estado de minas'', ''Negative''),
(''mas este fernando pimentel e um cara de pau com o estado de mg falido ele sendo investigado o filho voando'', ''Negative''),
(''mas o povo la curte helicoptero msm mesmo em calamidade financeira governo de mg compra mais dois helicopteros'', ''Negative''),
(''mas pra viajar de helicoptero com o filho tem dinheiro sim'', ''Negative''),
(''mesmo em ‘calamidade financeira’ governo de mg compra mais dois helicopteros'', ''Negative''),
(''mesmo em calamidade financeira governo de mg compra mais dois helicopteros'', ''Negative''),
(''mesmo em calamidade financeira governo de mg compra mais dois helicopteros papai pilantrel uol'', ''Negative''),
(''mg falida e a prioridade e comprar helicoptero o pt e uma piada de mau gosto fernando pimentel e uma'', ''Negative''),
(''minas e estado rico foi roubado verbas so tem pra bancar as extravagancias d pimentel reage minas gerais o po'', ''Negative''),
(''minas e uma bosta na politica me da vergonha esse meu estado'', ''Negative''),
(''minas em calamidade financeira carece de exemplo do governador pimentel quem o decretou'', ''Negative''),
(''minas gerais foi quebrada pelo pt e o governador pimentel usa helicoptero oficial pra levar e buscar seu pimpolho no sitio pasmem'', ''Negative''),
(''minas gerais nao tem fundos em contas correntes para pagar valores devidos em funcao de decisoes judiciais o'', ''Negative''),
(''minas so vota errado presidente e governador petralha agora prefeito da capital sem nocao'', ''Negative''),
(''minhas amigas meus amigos fernando pinoquio pimentel este governador petista petralha de minas gerais que'', ''Negative''),
(''moralidade x legalidade – caso do governador de minas gerais que utilizou helicoptero'', ''Negative''),
(''nao tem recursos mas gasta mi em helicoptero'', ''Negative''),
(''nem tudo que e legal e moralmente falando legal fiz criticas a esse senhor pimentel e tao logo assumiu o'', ''Negative''),
(''bb cobra restituicao de recursos por parte do governo de mg estado afirma que instituicao criou artif'', ''Negative''),
(''prefeito de aimores decreta estado de emergencia administrativa'', ''Negative''),
(''prefeito de ribeirao das neves decreta estado de calamidade financeira'', ''Negative''),
(''prefeitura de uberlandia decreta estado de calamidade financeira'', ''Negative''),
(''no dia de dezembro de o governador de minas gerais fernando pimentel pt decretou calamidade'', ''Negative''),
(''nos envergonha minas'', ''Negative''),
(''noticias ao minuto governo de mg gasta r milhoes com helicopteros'', ''Negative''),
(''noticias ao minuto governo de mg gasta r milhoes com helicopteros'', ''Negative''),
(''noticias pimentel governador de minas gerais some com dep'', ''Negative''),
(''o banco do brasil informou a justica mineira que o estado nao possui dinheiro para pagamento de resgastes dos'', ''Negative''),
(''o bb anuncia que o estado de minas nao tem mais recursos e vai o pimentel ptmg e me compra helicopteros pode isso arnaldo'', ''Negative''),
(''o estado de minas gerais atraves da policia civil assinou contrato de locacao superfaturado de um imovel da rua'', ''Negative''),
(''o filhinho anda passando mal demais um helicoptero so nao ta dando conta do recado fdp'', ''Negative''),
(''o gov de mg que quebrou o estado apesar da calamidade financeira esta comprando helicopteros entao'', ''Negative''),
(''o governador de minas gerais fernando pimentel age como se os estado fosse seu reino e os mineiros seus suditos'', ''Negative''),
(''o governador fernando pimentel declarou calamidade financeira em minas e comprou helicopteros fernando pimentel e uma calamidade moral'', ''Negative''),
(''o governo de minas comprou mais aeronaves e olha q minas esta falida na verdade falida p mim e p voce mas nao p ele e sua turma'', ''Negative''),
(''a umanizzare cobra quase r do amazonas'', ''Negative''),
(''o mais importante o governo de minas paga r mensais por preso para a gpa'', ''Negative''),
(''o pensamento da esquerda e em essencia caloteiro pt pc do b psol rede etc'', ''Negative''),
(''o pt quebrou minas gerais fernando pimentel usou helicoptero do estado ilegalmente'', ''Negative''),
(''o pt quebrou minas geraisgovernador autoriza compra dois novos helicopteros'', ''Negative''),
(''o pt sendo pt e ainda tem gente que apoia eles viu'', ''Negative''),
(''o sem vergonha governador de minas'', ''Negative''),
(''o simbolismo no uso do helicoptero oficial pelo governador de mg'', ''Negative''),
(''o tal pimentel e so o governador de minas com o dinheiro publico investido nesse helicoptero dava pra tirar mil pe'', ''Negative''),
(''onibus e o estagio me paga de passagem cade coerencia governo de minas bora ajudar a classe dos estagiarios proletarios'', ''Negative''),
(''os helicopteros de pimentel governador de minas gerais pimentel atrasa salarios mas abusa de mordomiasistoeesta manchetee mentirosa'', ''Negative''),
(''os petistas sao assim mesmo agem como se fossem os donos se apropriam'', ''Negative''),
(''pdb faliu pt finalizou banco do brasil avisa justica que governo de mg nao tem recursos em conta judicial'', ''Negative''),
(''paredao e a unica solucao para politicos como o governador de mg que usou o helicoptero publico para buscar'', ''Negative''),
(''pimentel e o pt distribuindo a doenca estado amplia para o numero de casos suspeitos de febre amarela em minas'', ''Negative''),
(''pimentel e os nossos problemas com helicopteros o atual governador de minas gerais foi flagrado usando o'', ''Negative''),
(''pimentel gov petista de mg dando um role com helicoptero do governo buscar o filho bebado'', ''Negative''),
(''pimentel torrou o dinheiro dos depositos judiciais como puderam entregar todo esse dinheiro na mao desse corrupto'', ''Negative''),
(''pimentel vai buscar filho em festa de reveillon com helicoptero do governo de by via cnvey'', ''Negative''),
(''politica de minas nao tem fundos para'', ''Negative''),
(''porque aqui no brasil nao poderia ser aqui e fico vendo que tem corrupcao em mg em sp em rj em rs em todos os outros estado brasileiro'', ''Negative''),
(''portal f governo de mg poe em sigilo dados sobre voos de pimentel'', ''Negative''),
(''pra eu andar de helicoptero basta meu pai ser governador de minas'', ''Negative''),
(''prefeito de aimores decreta estado de emergencia administrativa'', ''Negative''),
(''prefeito de ribeirao das neves decreta estado de calamidade financeira'', ''Negative''),
(''prefeito de ribeirao das neves decreta estado de calamidade financeira'', ''Negative''),
(''prefeitura de uberlandia decreta estado de calamidade financeira'', ''Negative''),
(''psol vai questionar aumento de vereadores e prefeito de bh na justica politica estado de minas'', ''Negative''),
(''psol vai questionar aumento de vereadores e prefeito de bh na justica politica estado de minas'', ''Negative''),
(''pt acabou com o brasil com minas gerais e uberlandia sera que tudo isso e golpe com a palavra o servidor'', ''Negative''),
(''ptiistas indignados c jdoriajr de gari e aprovam governador de minas c um estado arrebentado e quebrado comprar helicopteros e'', ''Negative''),
(''quando caira esse resquicio do pt no governo de minas'', ''Negative''),
(''quando o pimentel era pequeno todo ano ele pedia um helicoptero de brinquedo mas o papai noel nao trazia'', ''Negative''),
(''quando vamos nos ver livres desses canalhas nao basta prender e deixar na prisao somente os empresarios os'', ''Negative''),
(''rindo da cara do contribuinte sonia sabino o povo de minas nao sabe votar votaram na dilma para presidente no'', ''Negative''),
(''rio e minas pensei que estivessem em crise governo de minas gerais compra mais dois helicopteros'', ''Negative''),
(''rota blog do jose tomaz a balada de pimentel governador de mg atrasa sal'', ''Negative''),
(''rota blog do jose tomaz bb avisa justica que governo de mg desgovernado pe'', ''Negative''),
(''achoras banco do brasil avisa justica que governo de mg nao tem recursos em conta judicial'', ''Negative''),
(''adilsonjr a vergonha que e esse governo de minas buscar filhinho embriagado de helicoptero enquanto o servidores estao sem receber'', ''Negative''),
(''adilsonjr bb avisa justica que governo de mg nao tem recursos em conta judicial helicoptero o gov de minas o pilantrel tem'', ''Negative''),
(''adilsonjr mesmo em calamidade financeira governo de mg compra mais dois helicopteros papai pilantrel via'', ''Negative''),
(''ajaxba banco do brasil cobra de minas r bilhao em depositos judiciais'', ''Negative''),
(''alexlimareal serio qual e a fixacao de pimentel com helicopteros'', ''Negative''),
(''anapaulavolei mais helicopterosa cara de pau e a canalhice ainda so sao maiores q a calamidade financeira q vive o estado htt'', ''Negative''),
(''angelic em calamidade financeira governo de mg compra dois helicopteros by via cnvey'', ''Negative''),
(''antoniocar o governador de minas gerais fernando pimentel causou uma verdadeira comocao ao utilizar um helicoptero do'', ''Negative''),
(''antoniocsm governo de minas gerais gasta r milhoes com helicopteros'', ''Negative''),
(''antoniosous isto e uma vergonha governo de minas gerais compra mais dois helicopteros'', ''Negative''),
(''antoniosous via estadao governo de minas gerais compra mais dois helicopteros'', ''Negative''),
(''argemirosalvino custaram r milhoes mesmo em calamidade governo de mg compra mais dois by'', ''Negative''),
(''arisirius corruptos do pt bobjackk em calamidade financeira governo de mg compra dois helicopteros'', ''Negative''),
(''arobertosa minas em calamidade financeira carece de exemplo do governador pimentel quem o decretou'', ''Negative''),
(''ary antipt bb avisa justica q governo de mg nao tem recursos em conta judicial pimente'', ''Negative''),
(''com filhos fernando pimentel e a calamidade governo de minas gerais compra mais dois helicopteros'', ''Negative''),
(''ary antipt escarnio governador fernando acronimo pimentel buscando o filho do reveillon em escarpas do lago com helicoptero do governo'', ''Negative''),
(''ary antipt fernando acronimo pimentel acha tao legal o uso de helicoptero do governo que mandou o governo de mg minas comprar mais doi'', ''Negative''),
(''ary antipt governo de mg poe em sigilo dados sobre voos de pimentel escarnio zero'', ''Negative''),
(''ary antipt o brasil tera que pagar a conta de minas gerais enquanto o governador pimentel torrando dinheiro com bolsa ressaca'', ''Negative''),
(''augustoemil em calamidade financeira governo de mg compra dois helicopteros by via cnvey'', ''Negative''),
(''bhlinux comunista e assim essa desgraca que tomou conta do nosso pais e o governador vagabundo de mg'', ''Negative''),
(''br detodosmi endividando ainda mais o estado de mg e quem pagara a conta e o povo mineiro sera que ele coleciona helicopteros'', ''Negative''),
(''brasil fotos mesmo depois de falir o estado de mg fernando pimentel abre licitacao para compra de sim dois helicopteros inacre'', ''Negative''),
(''brenocxavier jairbolsonaro por favor nos ajude a pizza pimentel aqui em mg e o maior cabide de empregos do meu estado minha mae coit'', ''Negative''),
(''ca moredi noticias ao minuto governo de mg gasta r milhoes com helicopteros'', ''Negative''),
(''caascorpion depois de decretar “calamidade financeira” governo de minas gasta mais r milhoes em helicopteros'', ''Negative''),
(''cadulorena assim como o pt em mg e pi o psdb com o corrupto marconiperillo esta privatizando presidios em go'', ''Negative''),
(''caiado pimentel vai busca filho em festa de reveillon com helicoptero do estado'', ''Negative''),
(''capita governo de mg poe em sigilo dados sobre voos de pimentel'', ''Negative''),
(''carneirompcgo e em goias como esta a situacao banco do brasil cobra de minas r bilhao em depositos judiciaisc'', ''Negative''),
(''cassiagontijo acordouacordou minas esta linda recheada de mineiros e mineiras gente boa o problema e o governo de mg'', ''Negative''),
(''castrofor por falar em uso de helicoptero do governo por pimentel ptmg vms voltar ao assunto e saber o q aconteceu com lu alckmin h'', ''Negative''),
(''ceciliedite deve ser feito investigacao completa na prefeitura so por desencargo de consciencia governo de minas gerais'', ''Negative''),
(''ceciliedite nao sei pra que serve esses vereadores se nao fiscalizam nada governo de minas gerais'', ''Negative''),
(''cedesilva o governo de minas gerais nao comentou o assunto'', ''Negative''),
(''celianacarato governo de minas gerais compra mais dois helicopteros calamidade financeira pimentel na cadeia ja'', ''Negative''),
(''celiapfau governo de mg poe em sigilo dados sobre voos de pimentel poder folha de spaulo'', ''Negative''),
(''claudinogeo olha mg tem problemas com helicopteros tem pasta base de cocaina viagensgovernador que usa governador que abusap'', ''Negative''),
(''cleuberdacunha governo em calamidade financeira bb avisa justica que minas nao tem recursos'', ''Negative''),
(''conexaopoiitica fernando pimentel governador do pt em mg usa helicoptero do estado para buscar filho na escola'', ''Negative''),
(''cris duh a consjovemoabmg de minas gerais chamou de preocupante o fato de o estado ter esgotado os recursos relativos a deposit'', ''Negative''),
(''darkseid bb avisa justica que governo de mg nao tem recursos em conta judicial'', ''Negative''),
(''deborareis m governo de minas gerais gasta r milhoes com helicopteros uol'', ''Negative''),
(''deborareis m mesmo em calamidade financeira governo de mg compra mais dois helicopteros uol'', ''Negative''),
(''deivaolm bb avisa justica que governo de mg nao tem recursos em conta judicial by via cnvey'', ''Negative''),
(''diamantelilas governo de mg poe em sigilo dados sobre voos de pimentel via folha de spaulo isso e um absurdo'', ''Negative''),
(''diario comercio politica de minas nao tem fundos para'', ''Negative''),
(''diariodopoder governador petista de minas gerais usa helicoptero do governo para buscar filho na balada apos reveillon video'', ''Negative''),
(''diariope governador de mg diz que e legal uso de helicoptero oficial para buscar filho'', ''Negative''),
(''diariope mesmo em calamidade financeira governo de mg compra mais dois helicopteros'', ''Negative''),
(''diegoreporter por favor meus amigos mineiros o que falta para tirarem este corrupto do comando de minas gerais'', ''Negative''),
(''diegoreporter por favor meus amigos mineiros o que falta para tirarem este corrupto do comando de minas gerais'', ''Negative''),
(''diegoreporter por favor meus amigos mineiros o que falta para tirarem este corrupto do comando de minas gerais'', ''Negative''),
(''domartins governo de mg poe em sigilo dados sobre voos de pimentel'', ''Negative''),
(''ederrodrigo mesmo em calamidade financeira governo de mg compra mais dois helicopteros istoe independente'', ''Negative''),
(''edilsonaraujo bb avisa justica que governo de mg nao tem recursos em conta judicial'', ''Negative''),
(''apos decretar calamidade economica pimentel ta comprando dois helicopteros teremos mtos feriados em'', ''Negative''),
(''apos decretar falencia do estado de minas pimentel ta comprando mais helicopteros teremos mtos feriados em'', ''Negative''),
(''pimentel torrando dinheiro com helicopteros'', ''Negative''),
(''edvaldomoraispe estado de minas violencia avanca no interior de minas'', ''Negative''),
(''epocanegocios bb avisa justica que governo de mg nao tem recursos em conta judicial'', ''Negative''),
(''epocanegocios mesmo em calamidade financeira governo de mg compra mais dois helicopteros'', ''Negative''),
(''estadao em calamidade financeira mg compra dois helicopteros'', ''Negative''),
(''estadao pimentel busca filho com helicoptero do governo assista'', ''Negative''),
(''estadao pimentel vai buscar filho em festa de reveillon com helicoptero do governo de minas via estadaopoli'', ''Negative''),
(''exame em calamidade financeira governo de mg compra mais helicopteros'', ''Negative''),
(''exilado mas o povo la curte helicoptero msm mesmo em calamidade financeira governo de mg compra mais dois helicopteros'', ''Negative''),
(''ezequiasns em calamidade financeira governo de mg compra dois helicopteros via vejacom'', ''Negative''),
(''fabeoandreud reginaldo lopes o politico mais salafrario do estado de minas gerais nem o pimentel e igual'', ''Negative''),
(''fatosnacionais em o governador de mg aecio neves nomeia o pai para compor o conselho da cemig estatal do setor energetico'', ''Negative''),
(''fatosnacionais em aecio usa r milhoes do estado na construcao de aeroporto nas terras de um tio na cidade de claudiomg ht'', ''Negative''),
(''flaviofachel governador de mg fernando pimentel usa o helicoptero do governo para transportar o filho em festa de reveillon'', ''Negative''),
(''florpimenta deputado cabo julio e condenado e fica inelegivel por anos politica estado de minas planal'', ''Negative''),
(''fnk banco do brasil cobra de minas r bilhao em depositos judiciais usaram todo dinheiro dos depositos judiciais'', ''Negative''),
(''folha bb avisa justica que governo de mg nao tem recursos em conta judicial'', ''Negative''),
(''folha bb avisa justica que governo de mg nao tem recursos em conta judicial'', ''Negative''),
(''folha mercado bb avisa justica que governo de mg nao tem recursos em conta judicial'', ''Negative''),
(''folhapolitica minas gerais nao tem fundos em contas correntes para pagar valores devidos em funcao de decisoes judiciais o'', ''Negative''),
(''frednavarro o governador fernando pimentel ptmg mandou comprar mais dois helicopteros sera que vai ter gemeos'', ''Negative''),
(''fxs finance pt bb avisa justica que governo de mg nao tem recursos em conta judicial'', ''Negative''),
(''gcamarotti o simbolismo no uso do helicoptero oficial pelo governador de mg'', ''Negative''),
(''gisaieira ativistas voltam as ruas de bh contra aumento da tarifa de onibus gerais estado de minas'', ''Negative''),
(''gisaieira vereador preso vai receber salario de r mil em caratinga politica estado de minas'', ''Negative''),
(''gisaieira via estadao bb e governo de minas travam disputa sobre depositos judiciais'', ''Negative''),
(''gladyscastanho panichiraphael lobaoeletrico o que confirma o porque do estado caotico em que se encontra minas'', ''Negative''),
(''gpronaldo vereador chega algemado a camara de caratinga para tomar posse do cargo politica estado de minas'', ''Negative''),
(''gringa bras vivianeguissoni quem sera q ainda segura esse elemento como governador de minasonde ele ja deveria estarpq ainda esta'', ''Negative''),
(''guip em calamidade financeira governo de mg compra dois helicopteros um pra trabalhar e outro pra zuar'', ''Negative''),
(''gutodeandrade governo de mg poe em sigilo dados sobre voos de pimentel'', ''Negative''),
(''harrisontargino bb avisa a justica que governo de minas gerais usou dinheiro dos depositos judiciais e nao tem como'', ''Negative''),
(''hebert viana banco do brasil cobra de minas r bilhao em depositos judiciais'', ''Negative''),
(''hellblazer bb avisa justica que governo de mg nao tem recursos em conta judicial'', ''Negative''),
(''hiperseguro para ficar suave e confortavel para a familia do governador'', ''Negative''),
(''hugotim prefeito de aimores decreta estado de emergencia administrativa'', ''Negative''),
(''humbertoreisjr governo de minas gerais compra mais dois helicopterosfalido mas gastando'', ''Negative''),
(''infomoney banco do brasil avisa justica que governo de mg nao tem recursos em conta judicial'', ''Negative''),
(''ivanricardi nao substime a relacao desse governo com as faccoes fui secretario de seguranca publica em sao paulo x sei tratar com'', ''Negative''),
(''jbarbosa a formula do fracassoo governo petista de fernando pimentel ja esta entre os piores da historia do estado de minas gera'', ''Negative''),
(''jdanieldf pedindo para que mg reaja reagir contra o governador queridinho dos eleitores mineiros'', ''Negative''),
(''jejel em helicoptero do governo filho do governador de minas deixa festa de reveillon'', ''Negative''),
(''jjsouzas minas e estado rico foi roubado verbas so tem pra bancar as extravagancias d pimentel reage minas gerais o povo tem que'', ''Negative''),
(''joaoleitebh mesmo em calamidade financeira governo de mg compra mais dois helicopteros'', ''Negative''),
(''jornalhojeemdia governo de minas adquire helicopteros e outros equipamentos para a defesa civil pm e bombeiros'', ''Negative''),
(''jornaloglobo governador de minas usa helicoptero do estado para buscar filho e recebe criticas'', ''Negative''),
(''joseadeildo em calamidade financeira governo de minas gerais compra mais dois helicopteros'', ''Negative''),
(''joseadeildo governo de mg poe em sigilo dados sobre voos de pimentel'', ''Negative''),
(''joseluisfreita vereador chega algemado a camara de caratinga para tomar posse do cargo politica estado de minas'', ''Negative''),
(''josetomazfilho a balada de pimentel governador de mg atrasa salarios mas abusa de mordomias'', ''Negative''),
(''josetomazfilho bb avisa justica que governo de mg desgovernado pelo pt nao tem recursos em conta judicial'', ''Negative''),
(''julianacipriani ministerio publico de mg restringe entrevistas de promotores a imprensa politica estado de minas'', ''Negative''),
(''jumagalhaesbh vooooaaaaa minas voa nos helicopteros do pimentel'', ''Negative''),
(''larry esse secretario de temer o imbecil bruno julio pmdbmg e a cara do governo golpista'', ''Negative''),
(''leandroruschel sobre o governador de minas so ha uma pergunta a fazer por que o meliante ainda nao esta preso'', ''Negative''),
(''leisecarj midiainformal governador de minas usa helicoptero do estado p buscar filho em festa'', ''Negative''),
(''leoblinhares banco do brasil cobra de minas r bilhao em depositos judiciais eles quebram e acabam com tudo'', ''Negative''),
(''leonardogsaade governo de mg compra mais helicopteros pimentel garantindo a carona do filhote depois das cac'', ''Negative''),
(''lexluthor bb avisa justica que governo de mg desgovernado pelo pt nao tem recursos em conta judicial'', ''Negative''),
(''lexluthor bb avisa justica que governo de mg nao tem recursos em conta judicial'', ''Negative''),
(''lexluthor mesmo em calamidade financeira governo de mg compra mais dois helicopteros'', ''Negative''),
(''lorenacs onibus e o estagio me paga de passagem cade coerencia governo de minas bora ajudar a classe dos estagiarios pro'', ''Negative''),
(''mahggasantana e o senhor governador de mg como tem coragem de olhar p seu filho sendo desleal dessa maneira e o'', ''Negative''),
(''mandrakelee bb avisa justica que governo de mg nao tem recursos em conta judicial'', ''Negative''),
(''marcuspitter em calamidade financeira governo de mg compra dois helicopteros by via cnvey'', ''Negative''),
(''maria lima um e pouco dinheiro sobrando governo de minas gerais compra mais dois helicopteros'', ''Negative''),
(''mariaclara b parem de fingir que tem estado melhor que minas gerais no brasil'', ''Negative''),
(''mariamcastanha quem herdou a maldicao foi minas gerais o estado esta mais que falidorafaelfontana'', ''Negative''),
(''mariosilva o governo de minas comprou mais aeronaves e olha q minas esta falida na verdade falida p mim e p voce mas nao p ele'', ''Negative''),
(''marizalobato o filhinho anda passando mal demais um helicoptero so nao ta dando conta do recado fdp'', ''Negative''),
(''markramer assim sao os gov pt o povo ralese em calamidade financeira governo de mg compra dois helicopteros'', ''Negative''),
(''matosvaltecio governo de minas gerais gasta r milhoes com helicopteros uol onda olha'', ''Negative''),
(''matosvaltecio mesmo em calamidade financeira governo de mg compra mais dois helicopteros uol'', ''Negative''),
(''mauropatini estado de minas gerais quebrado e ainda se apropriando dos recursos judiciais que pertencem as partes dos processos fim d'', ''Negative''),
(''michaelchris minas e uma bosta na politica me da vergonha esse meu estado'', ''Negative''),
(''mmarques ipatingamg governo da ptista cecilia ferragente ferramenta esposa do chico farragente'', ''Negative''),
(''mpcpe governador de minas usa helicoptero do estado para buscar filho em festa'', ''Negative''),
(''mpcpe mesmo em calamidade financeira estado de minas compra mais dois helicopteros'', ''Negative''),
(''mpcpe uso de helicoptero por governador motiva protesto de servidores em minas gerais'', ''Negative''),
(''muckemuckjs usou o para comprar mas helicopteros ne nao bb avisa justica que governo de mg nao tem recursos em conta judicial'', ''Negative''),
(''mulhertamarindo e em minas que acabou o dinheiro dos depositos judiciais haahahha via albertolage note o n'', ''Negative''),
(''mulhertamarindo pessoas de minas larguem o pao de queijo e vao impichar o governador pelo amor de deus'', ''Negative''),
(''n carvalheira alo mineiros vai ficar por isso mesmo em calamidade financeira governo de mg compra dois helicopteros'', ''Negative''),
